dest,WHERE_AFRICA,WHERE_ASIA,WHERE_AUSTRALIA_PACIFIC,INSPIRE_BAR,SETTINGS_BAR_NIGHTCLUB,SETTINGS_BEACH,SETTINGS_BIG_CITY,INSPIRE_BOATING,INSPIRE_BUNGEE_JUMPING,INSPIRE_CAMPING,INSPIRE_CANOEING,WHERE_CENTRAL_AMERICA,WEATHER_COLD,INSPIRE_CROSS_COUNTRY_SKIING,SETTINGS_CROWDED,SETTINGS_CRUISE_SHIP,INSPIRE_DANCING,SETTINGS_DESERT,INSPIRE_DINING,INSPIRE_DOWNHILL_MOUNTAIN_BIKING,INSPIRE_DOWNHILL_SKIING,INSPIRE_DRINKING_ALCOHOL,WEATHER_DRY,WHERE_EUROPE,WEATHER_FOGGY,SETTINGS_FOREST,INSPIRE_GAMBLING_CASINO,SETTINGS_GARDEN,INSPIRE_GOING_TO_CONCERT,INSPIRE_GOING_PLAY,INSPIRE_GOING_TO_BALLET,INSPIRE_GOING_TO_OPERA,SETTINGS_GOLF_COURSE,INSPIRE_GOLFING,INSPIRE_HIKING,SETTINGS_HILLY,SETTINGS_HISTORIC_CITY,SETTINGS_HISTORIC_LANDMARK,INSPIRE_HORSEBACK_RIDING,WEATHER_HUMID,SETTINGS_HUT_CABANA,SETTINGS_ISLANDS,SETTINGS_JUNGLE,INSPIRE_KITE_SURFING,SETTINGS_LAKE,SETTINGS_LODGE_CABIN,SETTINGS_LUSH,SETTINGS_LUXURY_HOTEL_RESORT,WHERE_MEDITERRANEAN_SEA,WHERE_MIDDLE_EAST,WEATHER_MODERATE,SETTINGS_MODERN_CITY,SETTINGS_MONUMENT_STATUE,SETTINGS_MOUNTAIN,SETTINGS_MUSEUM,INSPIRE_NIGHT_CLUB,WHERE_NORTH_AMERICA,SETTINGS_OCEAN_SEA,WEATHER_OVERCAST,SETTINGS_PARK,SETTINGS_PLACE_OF_WORSHIP,SETTINGS_POOL,INSPIRE_POOL_PARTY,WEATHER_RAINY,INSPIRE_RELAXING,SETTINGS_RESTAURANT,SETTINGS_RIVER,INSPIRE_ROAD_TRAIL_BIKING,INSPIRE_ROCK_CLIMBING,SETTINGS_ROCKY,SETTINGS_RUINS,INSPIRE_SCUBA_DIVING,INSPIRE_SEA_KAYAKING,SETTINGS_SECLUDED,INSPIRE_SHOPPING,INSPIRE_SIGHTSEEING,SETTINGS_SKI_RESORT,INSPIRE_SKY_DIVING,SETTINGS_SMALL_HOTEL,SETTINGS_SMALL_TOWN_VILLAGE,INSPIRE_SNORKELING,INSPIRE_SNOWBOARDING,INSPIRE_SNOWSHOEING,WEATHER_SNOWY,WHERE_SOUTH_AMERICA,SETTINGS_SPA,WEATHER_SUNNY,INSPIRE_SURFING,INSPIRE_SWIMMING,SETTINGS_TENT,SETTINGS_THEME_PARK,WEATHER_TROPICAL,SETTINGS_VINEYARDS,INSPIRE_VISIT_SPA,INSPIRE_VISIT_THEME_PARK,INSPIRE_WATCHING_MOVIE,SETTINGS_WATER_PARK,SETTINGS_WATERFALL,INSPIRE_WHITE_WATER_KAYKING,INSPIRE_WHITE_WATER_RAFTING,INSPIRE_WINDSURFING,WEATHER_WINDY,INSPIRE_ZIP_LINING,SETTINGS_ZOO_AQUARIUM,Hotels,Reviews
"Munnar, Kerala, India",0,0.75,0,0.10121836,0.08771322,0.0762858,0.02818953,0.02510103,0.00165656,0.01344899,0.00473101,0,0.02567661,0.00554525,0.19009679,0.01034645,0.13586565,0.00473101,0.42149516,0.01805365,0.00554525,0.09682428,0.00473101,0,0,0.02577488,0.04354776,0.17977841,0.06021159,0.06021159,0.06021159,0.06021159,0.02489045,0.02577488,0.0276701,0.11553774,0.06212084,0.06212084,0.00735623,0.04627125,0.0143615,0.02717875,0.01850289,0.00067385,0.02129657,0.03787616,0.01850289,0.1159589,0,0,0.00150213,0.13318427,0.01896616,0.13536026,0.03906945,0.06833994,0,0.0586533,0.02264428,0.01204513,0.0223635,0.29468442,0.01106242,0.03626172,0.07964804,0.42149516,0.04714165,0.01805365,0.00329907,0.00463274,0.00370619,0.0082547,0.00578391,0.02125445,0.22760795,0.03386814,0.00474505,0.00329907,0.06129256,0.01482477,0.0082547,0.00554525,0.00554525,0.00784758,0,0.13989473,0.03687942,0.00891452,0.15596893,0.01344899,0.02152119,0.00749662,0.00485736,0.13989473,0.02108599,0.08140989,0.01540035,0.40266939,0.00578391,0.00578391,0.00067385,0.02215292,0.00255503,0.02195638,40,267
"Foz Do Iguacu, PR, Brazil",0,0,0,0.09112242,0.03246842,0.0150558,0.070529,0.00674936,0,0.05538232,0.0009088,0,0.04808768,0.00102392,0.14549294,0.00203571,0.03338934,0.00095121,0.25251332,0.0035625,0.00102392,0.04817856,0.00095121,0,0,0.01380165,0.00860937,0.00765816,0.01185682,0.01185682,0.01185682,0.01185682,0.04465847,0.04746363,0.10632363,0.00142985,0.00930006,0.00930006,0.00143591,0.00919706,0.00277487,0.00534375,0.10141005,0.00014541,0.00421684,0.00478029,0.10141005,0.21305925,0,0,0,0.09509085,0.05704845,0.00444707,0.00769451,0.0134866,0,0.01157812,0.00444101,0.19442883,0.00438648,0.2892834,0.00204783,0.00709471,0.06450062,0.25251332,0.01853348,0.0035625,0.00071492,0.0009088,0.0007331,0.00161767,0.01690975,0.00420472,0.15437495,0.04430101,0.00094515,0.00071492,0.0120507,0.00293846,0.00161767,0.00102392,0.00102392,0.00144802,0.75,0.08749328,0.06935967,0.00173278,0.26337046,0.05538232,0.00416837,0.03298947,0.00095727,0.08749328,0.00417443,0.0161403,0.00305357,0.38046035,0.01690975,0.01690975,0.00014541,0.00441071,0.00055134,0.01428635,37,505
"San Diego, CA, United States of America",0,0,0,0.21026113,0.16625641,0.12149587,0.08493374,0.75,0,0.03101955,0.01455977,0,0.0316074,0.00177405,0.26088966,0.02700958,0.0710458,0.00345362,0.20236716,0.05507939,0.00177405,0.1471618,0.00345362,0,0,0.00134366,0.00244587,0.04186328,0.0624695,0.0624695,0.0624695,0.0624695,0.02531951,0.02633775,0.01844378,0.00801995,0.14568168,0.14568168,0.00603595,0.04870752,0.02487863,0.0609054,0.00497573,0,0.00193151,0.0078205,0.00497573,0.1713686,0,0,0,0.15596904,0.01959848,0.0047028,0.04776276,0.10867866,0.75,0.27722348,0.04541137,0.01786642,0.00629839,0.40771555,0.05792416,0.04154836,0.086639555,0.20236716,0.00288676,0.05507939,0.00370555,0.00283427,0.00169007,0.00081879,0.01454927,0.03608975,0.27222676,0.04734287,0,0.00370555,0.05627608,0.06537725,0.00081879,0.00177405,0.00177405,0,0,0.13049207,0.05616061,0.03484057,0.1342606,0.03101955,0.75,0.048802,0.00342212,0.13049207,0.04993571,0.14971265,0.00109172,0.02624328,0.01454927,0.01454927,0,0.03236321,0,0.75,191,89796
"Clovis, NM, United States of America",0,0,0,0.03778887,0.03260928,0.02839708,0.01056073,0.00937164,0,0.00491759,0.00189448,0,0.00957318,0.00227741,0.24489205,0.00384943,0.01688911,0.08134181,0.04949839,0.006671,0.00227741,0.03599516,0.08134181,0,0,0.00187433,0.01620387,0.08563462,0.02247178,0.02247178,0.02247178,0.02247178,0.00925072,0.00949257,0.01005688,0.00262003,0.01757435,0.01757435,0.0027208,0.01747358,0.00542144,0.01011734,0.00179371,0.0004837,0.00788024,0.00896856,0.00179371,0.23469409,0,0,0,0.04679774,0.00721516,0.0084244,0.01451093,0.02541428,0.75,0.02182685,0.00886779,0.00453467,0.00834378,0.57886507,0.00453467,0.30069866,0.11950353,0.04949839,0.11433401,0.006671,0,0.0017131,0.00139063,0.00316419,0.00225726,0.0079407,0.26369579,0.012686985,0.00209602,0,0.02283456,0.06503717,0.00316419,0.00227741,0.00227741,0.00322465,0,0.25809296,0.01366446,0.00352696,0.18856144,0.00491759,0.00820271,0.00274095,0.00179371,0.25809296,0.00757793,0.03057372,0.00568345,0.32452076,0.00225726,0.00225726,0.0004837,0.00832363,0.00060462,0.00812209,12,346
"Iguazu, Misiones, Argentina",0,0,0,0.02910111,0.00463351,0.00745864,0.00146689,0.06585876,0,0.00069464,0.00021732,0,0.00134271,0.00021732,0.04977729,0.00054717,0.00239437,0.00024448,0.25427668,0.01443995,0.00021732,0.07209887,0.00027553,0,0,0.0665728,0.02326071,0.04161237,0.00317826,0.00317826,0.00317826,0.00317826,0.01487847,0.01585252,0.09787037,0.00038419,0.00248751,0.00248751,0.00039195,0.29853954,0.02550373,0.00143585,0.30707312,0,0.00112539,0.05616874,0.30707312,0.06567249,0,0,0.16079535,0.06026284,0.01773076,0.00119525,0.00205287,0.00364394,0,0.00310065,0.00113704,0.28132103,0.00120301,0.23882387,0.00043852,0.08580538,0.077950915,0.25427668,0.08334892,0.01443995,0,0.00023284,0.0002018,0.00042687,0.00029105,0.0566189,0.07339113,0.067100575,0.0002018,0,0.10497974,0.00844821,0.00042687,0.00021732,0.00021732,0.00031045,0.75,0.14738765,0.01720687,0.00049284,0.14109321,0.00069464,0.00121465,0.05702637,0.00026777,0.14738765,0.00109435,0.00431918,0.00080718,0.30534235,0.00029105,0.00029105,0,0.00112927,0.02790586,0.00114868,21,719
"Jefferson City, MO, United States of America",0,0,0,0.01085787,0.00939407,0.00810721,0.00328149,0.00275066,0,0.00130294,0.00030563,0,0.00278283,0.0009008,0.42456683,0.001126,0.1219942,0.00049866,0.09918463,0.05409632,0.0009008,0.09054659,0.00049866,0,0,0.000563,0.00463269,0.00410186,0.00640212,0.00640212,0.00640212,0.00640212,0.00260589,0.00278283,0.00305629,0.00080429,0.0342787,0.0342787,0.00082037,0.00489006,0.00130294,0.0029276,0.00048257,0,0.002252,0.078241,0.00048257,0.41412719,0,0,0,0.09275034,0.0019142,0.0023646,0.00408578,0.00733509,0.75,0.00627344,0.0023646,0.0013512,0.00233243,0.54620714,0.00181769,0.00389275,0.11352506,0.09918463,0.00508309,0.05409632,0,0.00048257,0.00036997,0.00088472,0.00059517,0.00228417,0.20535047,0.00361929,0.00041823,0,0.00665949,0.00156032,0.00088472,0.0009008,0.0009008,0.00128686,0,0.20893758,0.00402143,0.00102949,0.04614997,0.00130294,0.00250937,0.0007882,0.00048257,0.20893758,0.00250937,0.05856815,0.00167292,0.28409013,0.00059517,0.00059517,0,0.1264982,0,0.00228417,12,777
"Singapore, N/A, Singapore",0,0.75,0,0.1576872,0.75,0.01737756,0.0787281,0.06386924,0,0.00762318,0.00014158,0,0.015455,0,0.23028248,0.01512712,0.04008315,0.00093147,0.1927553,0.00753375,0,0.10090461,0.00093147,0,0,0.00207905,0.0127351,0.05359323,0.02204238,0.02204238,0.02204238,0.02204238,0.00610301,0.00652031,0.01751914,0.0008346,0.01889772,0.01889772,0.00163939,0.20810597,0.00301052,0.04225162,0.01192285,0,0.00050672,0.00825658,0.01192285,0.14103992,0,0,0,0.75,0.00858446,0.00049182,0.75,0.27980704,0,0.01936719,0.00054398,0.05176754,0.03091,0.28098442,0,0.06188707,0.06611968,0.1927553,0.11385581,0.00753375,0,0.0012668,0.00008197,0.00017884,0.00014158,0.01716146,0.75,0.08563963,0.00019375,0,0.0580643,0.02172195,0.00017884,0,0,0,0,0.09767053,0.03516497,0.00390474,0.23109473,0.00762318,0.01608095,0.02162508,0.00117738,0.09767053,0.01609585,0.04974811,0.00187785,0.03966585,0.00014158,0.00014158,0,0.00579004,0,0.75,167,19404
"Grindelwald, BE, Switzerland",0,0,0,0.19016011,0.17637441,0.04730619,0.01765345,0.01558054,0.00099432,0.0083422,0.00283972,0,0.01590075,0.00380876,0.15189552,0.00642097,0.13969399,0.00290713,0.19101961,0.05055881,0.00380876,0.0803211,0.00297454,0.75,0,0.01390367,0.02702368,0.054949,0.03729555,0.03729555,0.03729555,0.03729555,0.015471,0.01595973,0.30055527,0.05191547,0.05875776,0.05875776,0.00455872,0.02886908,0.03404293,0.01682766,0.00324419,0.00060671,0.01322956,0.02716693,0.00324419,0.18574464,0,0,0.00090163,0.17864955,0.01172122,0.22321714,0.02425138,0.04237671,0,0.03637706,0.04756741,0.00746585,0.05412321,0.20766188,0.00664006,0.03084087,0.08707912,0.19101961,0.0292567,0.05055881,0.00198022,0.002865,0.00231728,0.005157,0.00363181,0.01316214,0.31183831,0.021083025,0.00306723,0.00198022,0.17835463,0.05547987,0.005157,0.00380876,0.00380876,0.19368237,0,0.26269515,0.07873692,0.00548563,0.0672685,0.0083422,0.01344022,0.00465984,0.0029914,0.26269515,0.01318742,0.05056724,0.00962303,0.25822912,0.00363181,0.00363181,0.00060671,0.06033351,0.00153362,0.01367616,22,154
"Penrith, England, United Kingdom",0,0,0,0.06126169,0.01992222,0.01736422,0.00638471,0.00571264,0,0.08963286,0.00102869,0,0.00582922,0.00115899,0.21742997,0.00235912,0.01028,0.00107669,0.54884523,0.01108924,0.00115899,0.12454647,0.00107669,0.75,0,0.00111784,0.00993025,0.0152177,0.01373639,0.01373639,0.01373639,0.01373639,0.00567835,0.00586351,0.19966113,0.07697316,0.05198294,0.05198294,0.00162532,0.0104103,0.00332609,0.00616526,0.00122071,0.00016459,0.22810088,0.03911065,0.00122071,0.02639609,0,0,0,0.13049227,0.00436163,0.0727144,0.008929,0.01554002,0,0.01336606,0.00502685,0.00279803,0.03553768,0.13533396,0.00231797,0.10754571,0.092756635,0.54884523,0.01076692,0.01108924,0.00080923,0.00106298,0.00082981,0.00187907,0.00128243,0.00486912,0.13187071,0.00770829,0.00106983,0.00080923,0.01402442,0.04744301,0.00187907,0.00115899,0.00115899,0.00163904,0,0.11137243,0.01052003,0.00207109,0.09326069,0.08963286,0.00493084,0.00172819,0.00108355,0.11137243,0.0047251,0.01849578,0.00355925,0.25329683,0.00128243,0.00128243,0.00016459,0.00499256,0.00041833,0.00504056,20,320
"Dublin, OH, United States of America",0,0,0,0.01970853,0.00253108,0.00217101,0.03605994,0.00064601,0,0.03834744,0.00020122,0,0.07169627,0,0.29025868,0.00026476,0.02777833,0.00016945,0.18939675,0.02297034,0,0.12189424,0.00016945,0,0,0.00012708,0.00126025,0.04530526,0.03952296,0.03952296,0.03952296,0.03952296,0.03764848,0.04010543,0.00075191,0.00020122,0.0155995,0.0155995,0.00018004,0.00137674,0.00028594,0.0007625,0.00015885,0,0.00061424,0.00066719,0.00015885,0.20872403,0,0,0,0.14012013,0.00042361,0.00062483,0.00112257,0.00199098,0.75,0.00168386,0.00077309,0.01727276,0.01336495,0.33589224,0,0.0491919,0.092882145,0.18939675,0.01105626,0.02297034,0,0.0001059,0.00011649,0.00025417,0.00020122,0.02772538,0.36654054,0.01904134,0,0,0.06935581,0.02602034,0.00025417,0,0,0,0,0.09334282,0.00100608,0.01950732,0.17738737,0.03834744,0.00066719,0.00020122,0.0001059,0.09334282,0.00066719,0.20530337,0.01837415,0.06320285,0.00020122,0.00020122,0,0.00051892,0,0.59526964,20,2478
